stock_code,stock_name,n_buy_ops,n_days,avg_daily_ops,avg_amount_wan,total_buy_wan,avg_order_count,avg_time_span_min,avg_vwap_deviation_pct,avg_fwd_5d,win_5d,avg_universe_excess_fwd_5d,universe_excess_win_5d,stability,score,avg_fwd_10d,win_10d,avg_fwd_20d,win_20d,avg_amount_yuan,candidate_group,is_production_candidate
000006,深振业Ａ,1641,195,8.4,798.7,1310721.4,21.5,24.0,-0.11,1.56,0.45,0.59,0.404,0.058,0.533505125800104,3.19,0.431,5.95,0.408,690033227.5,B_positive_but_weak,False
000797,中国武夷,768,125,6.1,770.3,591565.3,17.7,23.8,-0.0,2.56,0.561,-0.02,0.457,-0.002,0.5198889784220817,5.67,0.601,7.83,0.71,546163081.8166667,C_beta_only,False
000519,中兵红箭,2731,229,11.9,1362.9,3721980.5,37.4,28.6,-0.09,0.44,0.454,-0.65,0.41,-0.112,0.508275871444406,0.46,0.483,0.8,0.493,723870786.4333333,C_beta_only,False
000063,中兴通讯,3963,222,17.9,14772.0,58541600.1,262.1,32.9,0.17,-0.12,0.526,-1.32,0.402,-0.216,0.5043932601853768,0.44,0.532,0.58,0.475,8236233927.916667,D_invalid,False
000157,中联重科,2641,226,11.7,627.4,1656990.1,17.8,31.1,-0.03,0.51,0.542,-0.74,0.408,-0.216,0.49069563904181,1.44,0.583,2.51,0.679,581066075.8666667,C_beta_only,False
000528,柳 工,2278,222,10.3,659.8,1502976.0,19.5,28.0,-0.06,0.5,0.471,-0.55,0.398,-0.117,0.4879908196631347,0.83,0.497,0.6,0.49,546497024.8333334,C_beta_only,False
000568,泸州老窖,3793,236,16.1,1850.5,7018845.1,49.9,32.9,-0.07,0.11,0.464,-1.19,0.383,-0.274,0.4834630899215704,0.34,0.496,1.03,0.506,1165808052.4,C_beta_only,False
000066,中国长城,3605,224,16.1,2180.0,7858739.9,51.1,32.5,-0.09,0.35,0.456,-0.86,0.353,-0.143,0.4784955683895329,0.61,0.449,0.93,0.448,1013631396.8,C_beta_only,False
000762,西藏矿业,1854,189,9.8,804.1,1490790.2,24.4,28.2,-0.07,0.72,0.508,-0.91,0.426,-0.177,0.4778503099225714,0.81,0.544,1.44,0.602,850393530.35,C_beta_only,False
000620,盈新发展,1575,211,7.5,1023.8,1612441.6,21.1,24.1,-0.16,1.57,0.407,0.06,0.362,0.004,0.4721398237417612,1.98,0.341,7.38,0.365,1097156183.266667,B_positive_but_weak,False
