stock_code,n_buy_ops,n_days,avg_daily_ops,avg_amount_wan,total_buy_wan,avg_order_count,avg_time_span_min,avg_vwap_deviation_pct,avg_fwd_1d,win_1d,median_fwd_1d,n_fwd_1d,avg_signal_excess_fwd_1d,signal_excess_win_1d,avg_universe_excess_fwd_1d,universe_excess_win_1d,avg_entry_fwd_1d,entry_win_1d,avg_fwd_3d,win_3d,median_fwd_3d,n_fwd_3d,avg_signal_excess_fwd_3d,signal_excess_win_3d,avg_universe_excess_fwd_3d,universe_excess_win_3d,avg_entry_fwd_3d,entry_win_3d,avg_fwd_5d,win_5d,median_fwd_5d,n_fwd_5d,avg_signal_excess_fwd_5d,signal_excess_win_5d,avg_universe_excess_fwd_5d,universe_excess_win_5d,avg_entry_fwd_5d,entry_win_5d,avg_fwd_10d,win_10d,median_fwd_10d,n_fwd_10d,avg_signal_excess_fwd_10d,signal_excess_win_10d,avg_universe_excess_fwd_10d,universe_excess_win_10d,avg_entry_fwd_10d,entry_win_10d,avg_fwd_20d,win_20d,median_fwd_20d,n_fwd_20d,avg_signal_excess_fwd_20d,signal_excess_win_20d,avg_universe_excess_fwd_20d,universe_excess_win_20d,avg_entry_fwd_20d,entry_win_20d,stability,avg_universe_excess_fwd_5d_norm,universe_excess_win_5d_norm,n_buy_ops_norm,stability_norm,score
000766,2943,228,12.9,918.1,2701857.8,24.5,30.9,-0.01,0.11,0.487,-0.04,2919,0.05,0.479,-0.13,0.472,236.23,1.0,0.64,0.461,-0.09,2900,0.37,0.452,-0.06,0.411,238.03,1.0,1.19,0.478,-0.15,2883,0.69,0.508,-0.0,0.496,239.85,1.0,2.3,0.549,1.0,2840,1.34,0.54,0.11,0.438,243.56,1.0,4.85,0.672,3.98,2722,2.71,0.595,1.27,0.512,252.11,1.0,-0.0,0.5880077369439072,0.7989276139410189,0.3761425251742835,0.6949626865671641,0.6196061526514416
300100,3568,231,15.4,2461.6,8782955.7,66.7,30.4,-0.08,0.31,0.47,-0.16,3549,0.21,0.428,0.1,0.423,346.91,1.0,0.9,0.461,-0.63,3514,0.73,0.426,0.45,0.419,348.03,1.0,1.82,0.486,-0.18,3491,1.27,0.45,0.88,0.417,350.57,1.0,3.77,0.546,1.49,3468,2.62,0.48,1.96,0.454,356.72,1.0,6.85,0.586,2.85,3414,4.68,0.471,3.58,0.462,366.03,1.0,0.09,0.6731141199226306,0.5871313672922253,0.47296669248644463,0.7789179104477612,0.6178701876987849
000688,989,125,7.9,1018.3,1007098.2,25.6,20.9,-0.18,0.98,0.495,-0.07,967,0.96,0.526,0.5,0.479,410.28,1.0,2.45,0.569,1.41,940,2.36,0.532,0.82,0.41,418.12,1.0,3.9,0.615,3.01,919,3.84,0.597,1.57,0.474,425.32,1.0,8.25,0.605,3.1,833,8.16,0.571,5.01,0.492,447.09,1.0,11.33,0.643,6.41,704,10.19,0.636,7.8,0.564,462.3,1.0,0.126,0.7398452611218569,0.739946380697051,0.07343144848954299,0.8125,0.6138583083557667
000792,3810,234,16.3,2231.8,8503058.5,53.0,32.6,-0.07,0.25,0.479,0.0,3789,0.12,0.464,-0.06,0.446,692.57,1.0,0.8,0.518,0.06,3746,0.41,0.504,-0.09,0.464,697.0,1.0,1.25,0.535,0.3,3719,0.67,0.538,-0.12,0.458,700.56,1.0,2.51,0.643,1.73,3621,1.36,0.565,0.07,0.509,710.45,1.0,4.74,0.718,3.77,3434,2.51,0.647,1.17,0.568,728.1,1.0,-0.03,0.5764023210831721,0.6970509383378017,0.5104570100697134,0.6669776119402985,0.6084653731425819
000859,1258,151,8.3,1592.8,2003765.9,34.6,25.4,0.2,0.34,0.498,0.0,1238,0.31,0.442,-0.13,0.403,281.31,1.0,1.39,0.521,0.48,1193,1.23,0.49,-0.01,0.435,285.42,1.0,2.52,0.575,1.33,1147,2.17,0.548,0.66,0.499,289.29,1.0,4.71,0.659,3.39,1080,3.92,0.602,1.37,0.509,298.0,1.0,6.45,0.606,4.58,912,4.54,0.56,3.29,0.507,304.32,1.0,0.071,0.6518375241779497,0.8069705093833781,0.11510457010069713,0.7611940298507461,0.6019664794914074
000811,2055,216,9.5,624.1,1282568.2,17.9,26.9,-0.04,0.74,0.577,0.5,2055,0.55,0.529,0.29,0.494,1988.43,1.0,2.02,0.549,0.97,2055,1.17,0.488,0.5,0.458,2016.07,1.0,3.83,0.567,1.47,2055,2.03,0.513,1.12,0.438,2056.49,1.0,7.51,0.637,3.15,2055,3.46,0.546,1.99,0.467,2139.68,1.0,20.48,0.684,8.24,2055,8.57,0.568,7.78,0.533,2431.71,1.0,0.116,0.6963249516441006,0.64343163538874,0.238574748257165,0.8031716417910447,0.5995915851047997
000617,4046,228,17.7,2412.6,9761472.1,50.9,31.6,-0.08,0.2,0.481,-0.14,4028,0.13,0.447,-0.06,0.388,692.51,1.0,0.77,0.485,-0.09,3996,0.48,0.479,-0.0,0.427,697.02,1.0,1.71,0.525,0.33,3922,1.05,0.464,0.44,0.397,704.51,1.0,3.78,0.502,0.31,3840,2.2,0.473,1.3,0.386,720.78,1.0,5.6,0.536,0.58,3711,2.98,0.492,1.77,0.445,734.97,1.0,0.058,0.6305609284332689,0.5335120643431637,0.5470178156467854,0.7490671641791045,0.5965882702235242
000678,2010,183,11.0,1077.0,2164823.3,25.9,21.9,-0.13,0.46,0.478,-0.2,2002,0.47,0.461,0.27,0.455,348.13,1.0,1.85,0.503,0.06,1990,1.61,0.451,1.06,0.433,354.58,1.0,3.05,0.477,-0.99,1978,2.64,0.416,1.74,0.404,359.95,1.0,4.59,0.418,-2.21,1928,4.14,0.403,2.54,0.359,366.84,1.0,7.2,0.506,0.19,1772,6.37,0.415,5.34,0.361,378.39,1.0,0.12,0.7562862669245648,0.5522788203753353,0.2316034082106894,0.8069029850746268,0.595209133032027
000603,1791,194,9.2,843.3,1510313.7,23.9,24.9,-0.04,0.52,0.499,0.0,1774,0.42,0.494,0.17,0.453,335.11,1.0,1.56,0.53,0.57,1744,1.35,0.55,0.5,0.467,339.73,1.0,2.25,0.556,1.09,1708,1.8,0.506,0.54,0.469,342.74,1.0,4.9,0.625,3.35,1622,3.95,0.562,1.91,0.501,354.35,1.0,8.64,0.645,5.48,1446,6.4,0.559,4.63,0.501,370.54,1.0,0.066,0.6402321083172147,0.7265415549597856,0.19767621998450813,0.7565298507462686,0.58924353888635
000796,2171,187,11.6,1090.6,2367596.6,27.6,25.3,-0.14,0.27,0.514,0.14,2161,0.21,0.493,-0.0,0.486,318.33,1.0,0.89,0.52,0.4,2131,0.72,0.496,0.04,0.474,321.02,1.0,1.56,0.52,0.64,2080,1.26,0.552,0.3,0.458,323.85,1.0,2.59,0.521,1.57,2025,1.79,0.518,0.13,0.452,327.98,1.0,4.64,0.586,3.25,1899,2.69,0.558,0.87,0.512,336.32,1.0,0.039,0.6170212765957447,0.6970509383378017,0.2565453137103021,0.7313432835820896,0.5803671832399078
