stock_code,stock_name,selected_flag,exclude_reasons,avg_amount_yuan,avg_close_yuan,n_trade_days,first_date,is_st,is_cixin,is_low_turnover,is_low_liquidity,is_low_price,has_daily_error,has_level2_error
601083,锦江航运,False,日均成交额<1亿,97242276.28333333,11.145000000000001,60,2025-01-02,False,False,False,True,False,False,Unknown
601089,福元医药,False,日均成交额<1亿,70610753.43333334,18.781,60,2025-01-02,False,False,False,True,False,False,Unknown
601107,四川成渝,False,日均成交额<1亿,71858387.41666667,5.668166666666666,60,2025-01-02,False,False,False,True,False,False,Unknown
601200,上海环境,False,日均成交额<1亿,68707228.06666666,7.612000000000001,60,2025-01-02,False,False,False,True,False,False,Unknown
601326,秦港股份,False,日均成交额<1亿,78273498.03333333,3.4185,60,2025-01-02,False,False,False,True,False,False,Unknown
601333,广深铁路,False,低价股(<3元),189222285.48333332,2.9538333333333333,60,2025-01-02,False,False,False,True,True,False,Unknown
601528,瑞丰银行,False,日均成交额<1亿,64781816.516666666,4.832333333333332,60,2025-01-02,False,False,False,True,False,False,Unknown
601568,北元化工,False,日均成交额<1亿,78865053.68333334,3.7691666666666666,60,2025-01-02,False,False,False,True,False,False,Unknown
601801,皖新传媒,False,日均成交额<1亿,59964763.85,5.441833333333333,60,2025-01-02,False,False,False,True,False,False,Unknown
601860,紫金银行,False,日均成交额<1亿; 低价股(<3元),92290563.53333333,2.577666666666667,60,2025-01-02,False,False,False,True,True,False,Unknown
601900,南方传媒,False,日均成交额<1亿,92982967.83333333,12.141166666666667,60,2025-01-02,False,False,False,True,False,False,Unknown
601921,浙版传媒,False,日均成交额<1亿,74622849.36666666,7.291833333333332,60,2025-01-02,False,False,False,True,False,False,Unknown
601949,中国出版,False,日均成交额<1亿,58981259.18333333,5.473833333333334,60,2025-01-02,False,False,False,True,False,False,Unknown
603013,亚普股份,False,日均成交额<1亿,77693990.81666666,18.688499999999998,60,2025-01-02,False,False,False,True,False,False,Unknown
603014,威高血净,False,日均成交额<1亿,79384771.55,35.040166666666664,60,2025-05-19,False,False,False,True,False,False,Unknown
603043,广州酒家,False,日均成交额<1亿,47548567.2,14.1325,60,2025-01-02,False,False,False,True,False,False,Unknown
603055,台华新材,False,日均成交额<1亿,69072253.86666666,8.598666666666666,60,2025-01-02,False,False,False,True,False,False,Unknown
603057,紫燕食品,False,日均成交额<1亿,88130648.18333334,25.363833333333332,60,2025-01-02,False,False,False,True,False,False,Unknown
603193,润本股份,False,日均成交额<1亿,98430018.93333334,22.69633333333333,60,2025-01-02,False,False,False,True,False,False,Unknown
603194,中力股份,False,日均成交额<1亿,82509881.81666666,35.272999999999996,60,2025-01-02,False,False,False,True,False,False,Unknown
603248,锡华科技,False,次新(上市<1年),237065448.66666666,25.964833333333328,60,2025-12-23,False,True,False,False,False,False,Unknown
603299,苏盐井神,False,日均成交额<1亿,69820345.1,10.057499999999997,60,2025-01-02,False,False,False,True,False,False,Unknown
603355,莱克电气,False,日均成交额<1亿,97630216.95,28.882333333333335,60,2025-01-02,False,False,False,True,False,False,Unknown
603376,大明电子,False,次新(上市<1年); 日均成交额<1亿,39559880.016666666,29.292333333333332,60,2025-11-06,False,True,False,True,False,False,Unknown
603395,红四方,False,日均成交额<1亿,59960922.88333333,24.774666666666672,60,2025-01-02,False,False,False,True,False,False,Unknown
603402,陕西旅游,False,次新(上市<1年),118748485.83333333,77.91866666666667,60,2026-01-06,False,True,False,True,False,False,Unknown
603406,天富龙,False,次新(上市<1年); 日均成交额<1亿,32955784.65,30.970166666666668,60,2025-08-08,False,True,False,True,False,False,Unknown
603418,友升股份,False,次新(上市<1年); 日均成交额<1亿,92754378.01666667,50.70366666666666,60,2025-09-23,False,True,False,True,False,False,Unknown
603707,健友股份,False,日均成交额<1亿,92825321.9,8.302499999999998,60,2025-01-02,False,False,False,True,False,False,Unknown
603866,桃李面包,False,日均成交额<1亿,50712022.28333333,4.455166666666666,60,2025-01-02,False,False,False,True,False,False,Unknown
603983,丸美生物,False,日均成交额<1亿,86545104.26666667,24.464499999999997,60,2025-01-02,False,False,False,True,False,False,Unknown
605333,沪光股份,False,日均成交额<1亿,59768552.516666666,21.483333333333334,60,2025-01-02,False,False,False,True,False,False,Unknown
605507,国邦医药,False,日均成交额<1亿,79086793.65,16.0225,60,2025-01-02,False,False,False,True,False,False,Unknown
688100,威胜信息,False,日线数据异常; 停牌多(<50/60天),,,0,,False,False,True,False,False,True,Unknown
688128,中国电研,False,日均成交额<1亿,92513003.81666666,25.685166666666667,60,2025-01-02,False,False,False,True,False,False,Unknown
688177,百奥泰,False,日线数据异常; 停牌多(<50/60天),,,0,,False,False,True,False,False,True,Unknown
688182,灿勤科技,False,日线数据异常; 停牌多(<50/60天),,,0,,False,False,True,False,False,True,Unknown
688190,云路股份,False,日线数据异常; 停牌多(<50/60天),,,0,,False,False,True,False,False,True,Unknown
688195,腾景科技,False,日线数据异常; 停牌多(<50/60天),,,0,,False,False,True,False,False,True,Unknown
688205,德科立,False,日线数据异常; 停牌多(<50/60天),,,0,,False,False,True,False,False,True,Unknown
688206,概伦电子,False,日线数据异常; 停牌多(<50/60天),,,0,,False,False,True,False,False,True,Unknown
688232,新点软件,False,日均成交额<1亿,54051686.583333336,20.541833333333333,60,2025-01-02,False,False,False,True,False,False,Unknown
688262,国芯科技,False,日线数据异常; 停牌多(<50/60天),,,0,,False,False,True,False,False,True,Unknown
688279,峰岹科技,False,日线数据异常; 停牌多(<50/60天),,,0,,False,False,True,False,False,True,Unknown
688289,圣湘生物,False,日均成交额<1亿,81636993.08333333,16.160166666666665,60,2025-01-02,False,False,False,True,False,False,Unknown
